eps,numclasses,numoutliers,num0,tammedioclasses,desvpadr
0.01,4.0,10057.0,4.0,2678.75,4267.952809896098
0.03,4.0,10057.0,4.0,2678.75,4267.952809896098
0.049999999999999996,5.0,10053.0,4.0,2143.0,3962.8732505594976
0.06999999999999999,8.0,10039.0,5.0,1339.375,3294.9097460135386
0.08999999999999998,11.0,10023.0,7.0,974.0909090909091,2867.4435701682382
0.10999999999999997,19.0,9971.0,5.0,563.9473684210526,2221.9000279202533
0.12999999999999998,21.0,9948.0,4.0,510.23809523809524,2114.773789653611
0.15,34.0,9867.0,4.0,315.1470588235294,1666.3086913427205
0.16999999999999998,42.0,9806.0,4.0,255.11904761904762,1494.814532250628
0.18999999999999997,59.0,9680.0,4.0,181.61016949152543,1249.9598233129661
0.20999999999999996,77.0,9506.0,5.0,139.15584415584416,1076.9266524112204
0.22999999999999998,83.0,9302.0,13.0,129.09638554216866,1015.4575040429097
0.24999999999999997,98.0,9000.0,13.0,109.33673469387755,905.1833385594679
0.26999999999999996,111.0,8662.0,191.0,96.53153153153153,819.4959758358594
0.29,114.0,8265.0,416.0,93.99122807017544,773.1001897760891
0.30999999999999994,133.0,7735.0,608.0,80.56390977443608,671.9577877158146
0.32999999999999996,134.0,7135.0,824.0,79.96268656716418,620.2150494489242
0.35,115.0,6500.0,1307.0,93.17391304347827,622.1906915976605
0.36999999999999994,101.0,5784.0,2030.0,106.08910891089108,621.7083315231866
0.38999999999999996,84.0,5017.0,4509.0,127.55952380952381,728.3572081385564
0.4099999999999999,66.0,4117.0,5596.0,162.34848484848484,843.4176055467357
0.42999999999999994,37.0,3277.0,6599.0,289.5945945945946,1180.9869317413104
0.44999999999999996,25.0,2451.0,7508.0,428.6,1525.868224978815
0.4699999999999999,11.0,1719.0,8310.0,974.0909090909091,2374.008633458509
0.48999999999999994,8.0,1138.0,8903.0,1339.375,2885.923246445581
0.5099999999999999,6.0,664.0,9392.0,1785.8333333333333,3414.102879560343
0.5299999999999999,3.0,373.0,9693.0,3571.6666666666665,4329.902641964239
0.5499999999999999,3.0,175.0,9891.0,3571.6666666666665,4472.631539584821
0.57,3.0,89.0,9977.0,3571.6666666666665,4535.020862380043
0.59,3.0,45.0,10021.0,3571.6666666666665,4567.028890743838
0.6099999999999999,3.0,23.0,10043.0,3571.6666666666665,4583.054682438584
0.6299999999999999,3.0,11.0,10055.0,3571.6666666666665,4591.802066969158
0.6499999999999999,3.0,4.0,10062.0,3571.6666666666665,4596.906665235753
0.6699999999999999,3.0,2.0,10064.0,3571.6666666666665,4598.365385897713
0.69,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
0.7099999999999999,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
0.7299999999999999,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
0.7499999999999999,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
0.7699999999999999,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
0.7899999999999999,3.0,1.0,10065.0,3571.6666666666665,4599.094790161309
